Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.9186e+01,-0.32,-0.336,-13,-13.2
-1.9178e+01,-0.32,-0.304,-13,-12.8
-1.9171e+01,-0.312,-0.328,-13,-13.2
-1.9163e+01,-0.312,-0.304,-13,-12.8
-1.9155e+01,-0.312,-0.328,-13,-13.2
-1.9147e+01,-0.312,-0.296,-13,-12.8
-1.9140e+01,-0.312,-0.328,-13,-13.4
-1.9132e+01,-0.312,-0.296,-13,-12.8
-1.9124e+01,-0.312,-0.328,-13,-13.4
-1.9117e+01,-0.312,-0.296,-13,-12.8
-1.9109e+01,-0.312,-0.328,-13,-13.4
-1.9101e+01,-0.312,-0.296,-13,-12.8
-1.9094e+01,-0.312,-0.328,-13,-13.4
-1.9086e+01,-0.312,-0.296,-13.2,-12.8
-1.9078e+01,-0.312,-0.328,-13.2,-13.4
-1.9071e+01,-0.312,-0.296,-13.2,-12.8
-1.9063e+01,-0.312,-0.328,-13.2,-13.4
-1.9055e+01,-0.304,-0.288,-13.2,-12.8
-1.9048e+01,-0.304,-0.32,-13.2,-13.4
-1.9040e+01,-0.304,-0.296,-13.2,-12.8
-1.9032e+01,-0.304,-0.328,-13.2,-13.4
-1.9025e+01,-0.304,-0.296,-13.2,-13
-1.9017e+01,-0.304,-0.32,-13.2,-13.4
-1.9009e+01,-0.304,-0.288,-13.2,-13
-1.9002e+01,-0.304,-0.32,-13.2,-13.4
-1.8994e+01,-0.304,-0.288,-13.2,-13
-1.8986e+01,-0.304,-0.32,-13.2,-13.4
-1.8978e+01,-0.304,-0.288,-13.2,-13
-1.8971e+01,-0.304,-0.32,-13.2,-13.4
-1.8963e+01,-0.304,-0.288,-13.2,-13
-1.8955e+01,-0.304,-0.32,-13.2,-13.4
-1.8948e+01,-0.304,-0.288,-13.2,-13
